"file_name","pop","count"
"vi201027.001","root",1350
"vi201027.001","Bacteria",7
"vi201027.001","HNA_Bacteria",1
"vi201027.001","LNA_Bacteria",6
"vi201027.001","Viruses",1147
"vi201027.001","V1",770
"vi201027.001","V2",355
"vi201027.001","V3",13
"vi201027.002","root",3375
"vi201027.002","Bacteria",11
"vi201027.002","HNA_Bacteria",4
"vi201027.002","LNA_Bacteria",7
"vi201027.002","Viruses",747
"vi201027.002","V1",507
"vi201027.002","V2",217
"vi201027.002","V3",10
"vi201027.003","root",690
"vi201027.003","Bacteria",4
"vi201027.003","HNA_Bacteria",1
"vi201027.003","LNA_Bacteria",3
"vi201027.003","Viruses",497
"vi201027.003","V1",385
"vi201027.003","V2",100
"vi201027.003","V3",4
"vi201027.004","root",525
"vi201027.004","Bacteria",4
"vi201027.004","HNA_Bacteria",2
"vi201027.004","LNA_Bacteria",2
"vi201027.004","Viruses",408
"vi201027.004","V1",358
"vi201027.004","V2",44
"vi201027.004","V3",2
"vi201027.005","root",540
"vi201027.005","Bacteria",1
"vi201027.005","HNA_Bacteria",1
"vi201027.005","LNA_Bacteria",0
"vi201027.005","Viruses",318
"vi201027.005","V1",269
"vi201027.005","V2",45
"vi201027.005","V3",2
"vi201027.006","root",42345
"vi201027.006","Bacteria",917
"vi201027.006","HNA_Bacteria",732
"vi201027.006","LNA_Bacteria",184
"vi201027.006","Viruses",39241
"vi201027.006","V1",33225
"vi201027.006","V2",4988
"vi201027.006","V3",834
"vi201027.007","root",41535
"vi201027.007","Bacteria",4138
"vi201027.007","HNA_Bacteria",3306
"vi201027.007","LNA_Bacteria",827
"vi201027.007","Viruses",35265
"vi201027.007","V1",29930
"vi201027.007","V2",3649
"vi201027.007","V3",1482
"vi201027.008","root",44925
"vi201027.008","Bacteria",1796
"vi201027.008","HNA_Bacteria",1377
"vi201027.008","LNA_Bacteria",418
"vi201027.008","Viruses",40473
"vi201027.008","V1",34715
"vi201027.008","V2",4854
"vi201027.008","V3",693
"vi201027.009","root",39855
"vi201027.009","Bacteria",1703
"vi201027.009","HNA_Bacteria",1271
"vi201027.009","LNA_Bacteria",427
"vi201027.009","Viruses",35980
"vi201027.009","V1",30819
"vi201027.009","V2",4214
"vi201027.009","V3",707
"vi201027.010","root",19275
"vi201027.010","Bacteria",1200
"vi201027.010","HNA_Bacteria",542
"vi201027.010","LNA_Bacteria",657
"vi201027.010","Viruses",8497
"vi201027.010","V1",6809
"vi201027.010","V2",1205
"vi201027.010","V3",131
"vi201027.011","root",1665
"vi201027.011","Bacteria",64
"vi201027.011","HNA_Bacteria",37
"vi201027.011","LNA_Bacteria",27
"vi201027.011","Viruses",890
"vi201027.011","V1",725
"vi201027.011","V2",132
"vi201027.011","V3",14
"vi201027.013","root",3405
"vi201027.013","Bacteria",217
