"file_name","pop","count"
"vi201102.001","root",4320
"vi201102.001","Bacteria",64
"vi201102.001","HNA_Bacteria",36
"vi201102.001","LNA_Bacteria",27
"vi201102.001","Viruses",2773
"vi201102.001","V1",2723
"vi201102.001","V2",24
"vi201102.001","V3",0
"vi201102.002","root",95715
"vi201102.002","Bacteria",187
"vi201102.002","HNA_Bacteria",75
"vi201102.002","LNA_Bacteria",112
"vi201102.002","Viruses",1615
"vi201102.002","V1",1110
"vi201102.002","V2",19
"vi201102.002","V3",0
"vi201102.003","root",1950
"vi201102.003","Bacteria",21
"vi201102.003","HNA_Bacteria",12
"vi201102.003","LNA_Bacteria",9
"vi201102.003","Viruses",1117
"vi201102.003","V1",1095
"vi201102.003","V2",10
"vi201102.003","V3",0
"vi201102.004","root",1680
"vi201102.004","Bacteria",20
"vi201102.004","HNA_Bacteria",12
"vi201102.004","LNA_Bacteria",8
"vi201102.004","Viruses",778
"vi201102.004","V1",770
"vi201102.004","V2",1
"vi201102.004","V3",0
"vi201102.005","root",1215
"vi201102.005","Bacteria",15
"vi201102.005","HNA_Bacteria",4
"vi201102.005","LNA_Bacteria",10
"vi201102.005","Viruses",675
"vi201102.005","V1",658
"vi201102.005","V2",7
"vi201102.005","V3",0
"vi201102.006","root",1275
"vi201102.006","Bacteria",19
"vi201102.006","HNA_Bacteria",10
"vi201102.006","LNA_Bacteria",9
"vi201102.006","Viruses",690
"vi201102.006","V1",672
"vi201102.006","V2",12
"vi201102.006","V3",0
"vi201102.021","root",34710
"vi201102.021","Bacteria",26
"vi201102.021","HNA_Bacteria",11
"vi201102.021","LNA_Bacteria",15
"vi201102.021","Viruses",33535
"vi201102.021","V1",27843
"vi201102.021","V2",4767
"vi201102.021","V3",860
"vi201102.022","root",30705
"vi201102.022","Bacteria",25
"vi201102.022","HNA_Bacteria",5
"vi201102.022","LNA_Bacteria",20
"vi201102.022","Viruses",29794
"vi201102.022","V1",24756
"vi201102.022","V2",4243
"vi201102.022","V3",717
"vi201102.023","root",33105
"vi201102.023","Bacteria",19
"vi201102.023","HNA_Bacteria",7
"vi201102.023","LNA_Bacteria",11
"vi201102.023","Viruses",32452
"vi201102.023","V1",26685
"vi201102.023","V2",4819
"vi201102.023","V3",895
"vi201102.024","root",28110
"vi201102.024","Bacteria",23
"vi201102.024","HNA_Bacteria",11
"vi201102.024","LNA_Bacteria",12
"vi201102.024","Viruses",27307
"vi201102.024","V1",22704
"vi201102.024","V2",3812
"vi201102.024","V3",724
"vi201102.025","root",27195
"vi201102.025","Bacteria",24
"vi201102.025","HNA_Bacteria",7
"vi201102.025","LNA_Bacteria",17
"vi201102.025","Viruses",26459
"vi201102.025","V1",22022
"vi201102.025","V2",3671
"vi201102.025","V3",688
"vi201102.026","root",28455
"vi201102.026","Bacteria",16
"vi201102.026","HNA_Bacteria",4
"vi201102.026","LNA_Bacteria",12
"vi201102.026","Viruses",27830
"vi201102.026","V1",23432
"vi201102.026","V2",3665
"vi201102.026","V3",680
"vi201102.027","root",1290
"vi201102.027","Bacteria",16
"vi201102.027","HNA_Bacteria",9
"vi201102.027","LNA_Bacteria",7
"vi201102.027","Viruses",645
"vi201102.027","V1",623
"vi201102.027","V2",13
"vi201102.027","V3",0
"vi201102.028","root",1080
"vi201102.028","Bacteria",15
"vi201102.028","HNA_Bacteria",6
"vi201102.028","LNA_Bacteria",9
"vi201102.028","Viruses",627
"vi201102.028","V1",609
"vi201102.028","V2",11
"vi201102.028","V3",1
"vi201102.029","root",97530
"vi201102.029","Bacteria",279
"vi201102.029","HNA_Bacteria",77
"vi201102.029","LNA_Bacteria",198
"vi201102.029","Viruses",904
"vi201102.029","V1",695
"vi201102.029","V2",21
"vi201102.029","V3",0
"vi201102.030","root",1140
"vi201102.030","Bacteria",13
"vi201102.030","HNA_Bacteria",7
"vi201102.030","LNA_Bacteria",6
"vi201102.030","Viruses",839
"vi201102.030","V1",816
"vi201102.030","V2",17
"vi201102.030","V3",1
"vi201102.031","root",1170
"vi201102.031","Bacteria",18
"vi201102.031","HNA_Bacteria",9
"vi201102.031","LNA_Bacteria",9
"vi201102.031","Viruses",605
"vi201102.031","V1",588
"vi201102.031","V2",15
"vi201102.031","V3",0
"vi201102.032","root",1485
"vi201102.032","Bacteria",75
"vi201102.032","HNA_Bacteria",68
"vi201102.032","LNA_Bacteria",6
"vi201102.032","Viruses",531
"vi201102.032","V1",517
"vi201102.032","V2",5
"vi201102.032","V3",0
"vi201102.033","root",915
"vi201102.033","Bacteria",9
"vi201102.033","HNA_Bacteria",4
"vi201102.033","LNA_Bacteria",5
"vi201102.033","Viruses",578
"vi201102.033","V1",562
"vi201102.033","V2",11
"vi201102.033","V3",0
"vi201102.036","root",23865
"vi201102.036","Bacteria",3070
"vi201102.036","HNA_Bacteria",2400
"vi201102.036","LNA_Bacteria",662
"vi201102.036","Viruses",18905
"vi201102.036","V1",14795
"vi201102.036","V2",2569
"vi201102.036","V3",1181
"vi201102.037","root",22740
"vi201102.037","Bacteria",2918
"vi201102.037","HNA_Bacteria",2298
"vi201102.037","LNA_Bacteria",608
"vi201102.037","Viruses",17867
"vi201102.037","V1",13771
"vi201102.037","V2",2529
"vi201102.037","V3",1282
"vi201102.038","root",23310
"vi201102.038","Bacteria",3072
"vi201102.038","HNA_Bacteria",2414
"vi201102.038","LNA_Bacteria",650
"vi201102.038","Viruses",18410
"vi201102.038","V1",14178
"vi201102.038","V2",2509
"vi201102.038","V3",1454
"vi201102.039","root",23640
"vi201102.039","Bacteria",3202
"vi201102.039","HNA_Bacteria",2552
"vi201102.039","LNA_Bacteria",636
"vi201102.039","Viruses",18214
"vi201102.039","V1",14199
"vi201102.039","V2",2374
"vi201102.039","V3",1330
"vi201102.040","root",23145
"vi201102.040","Bacteria",3237
"vi201102.040","HNA_Bacteria",2524
"vi201102.040","LNA_Bacteria",701
"vi201102.040","Viruses",18064
"vi201102.040","V1",13674
"vi201102.040","V2",2690
