"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"vi201102.021","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"0.22",0,1,48614.0724946695,20567.4922092833,28046.5802853863,167823454.157783,139608856.710939,23902432.2070556,4312165.23978766,3452.15789473684,0.733333333333333
"vi201102.036","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",0,1,1545671.64179104,1211499.65391852,334171.987872525,9209808.10234542,7347485.08353736,1275815.42275144,586507.596056616,5.95845058765105,3.62537764350453
"vi201102.079","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",0,1,1422345.41577825,1127388.99315143,294956.422626826,7252196.16204691,5550169.82635885,1132914.29661369,569112.039074368,5.09875876956287,3.82222222222222
"vi201102.022","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"0.22",0,2,43496.8017057569,8699.36034115139,34797.4413646055,148613219.616205,123807674.815546,21219743.2639506,3585801.53670813,3416.64705882353,0.25
"vi201102.037","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",0,2,1465842.21748401,1159155.3392217,306686.878262312,8717014.92537314,6827551.61741061,1253857.96532071,635605.342641813,5.94676208762437,3.77960526315789
"vi201102.080","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",0,2,1388571.42857143,1086160.2281566,302411.20041483,7677441.36460554,5903712.71632108,1159727.0304781,614001.61780636,5.52902155887231,3.59166666666667
"vi201102.023","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"0.22",0,3,7675.90618336887,2985.07462686567,4690.8315565032,162342857.142857,133711507.850771,24146739.9787471,4484609.3133386,21149.6666666667,0.636363636363636
"vi201102.038","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",0,3,1546695.09594883,1218577.66371425,328117.432234575,9003070.36247335,7036300.7330989,1245174.11054769,721595.51882676,5.82084367245658,3.71384615384615
"vi201102.081","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VPC",0,3,1426439.23240938,1127940.81403315,298498.41837623,7677441.36460554,5910976.14239924,1163600.85771978,602864.364486528,5.38224215246637,3.77871621621622
"vi201102.039","Viruses",2020-08-04,2020-11-02,"NJ2020",1,1,"VP",3,1,1610149.25373134,1288927.50800577,321221.745725575,8881279.31769723,7043807.46422292,1177688.49356048,659783.359913831,5.51581121881456,4.0125786163522
