"Location","Station_Number","Sample_Type","Replicate","Timepoint","rate"
"NJ2020",1,"VP",1,0,1
"NJ2020",1,"VP",1,3,1.00455528698543
"NJ2020",1,"VP",1,6,0.545079567990727
"NJ2020",1,"VP",1,17,1.03111156506844
"NJ2020",1,"VP",1,20,1.85090265829239
"NJ2020",1,"VP",1,24,2.99381588869081
"NJ2020",1,"VP",2,0,1
"NJ2020",1,"VP",2,3,1.12499879791251
"NJ2020",1,"VP",2,6,0.623057092953794
"NJ2020",1,"VP",2,17,1.0878246374636
"NJ2020",1,"VP",2,20,2.38097685392515
"NJ2020",1,"VP",2,24,2.87955188904084
"NJ2020",1,"VP",3,0,1
"NJ2020",1,"VP",3,3,0.986296540687504
"NJ2020",1,"VP",3,6,0.430760505086341
"NJ2020",1,"VP",3,17,1.00762312985779
"NJ2020",1,"VP",3,20,1.90268517611552
"NJ2020",1,"VP",3,24,2.13598900620372
"NJ2020",1,"VPC",1,0,1
"NJ2020",1,"VPC",1,3,1.05070689364804
"NJ2020",1,"VPC",1,6,1.08757272650144
"NJ2020",1,"VPC",1,17,1.01025312866565
"NJ2020",1,"VPC",1,20,1.05245531639985
"NJ2020",1,"VPC",1,24,1.05119249223822
"NJ2020",1,"VPC",2,0,1
"NJ2020",1,"VPC",2,3,0.919628567376632
"NJ2020",1,"VPC",2,6,1.38505635277342
"NJ2020",1,"VPC",2,17,1.14201350504422
"NJ2020",1,"VPC",2,20,1.15691753240777
"NJ2020",1,"VPC",2,24,1.01555921847999
"NJ2020",1,"VPC",3,0,1
"NJ2020",1,"VPC",3,3,0.933384719169771
"NJ2020",1,"VPC",3,6,0.962043627149013
"NJ2020",1,"VPC",3,17,1.03625389720263
"NJ2020",1,"VPC",3,20,1.12091325830499
"NJ2020",1,"VPC",3,24,1.0041773349366
"NJ2020",2,"VP",1,0,1
"NJ2020",2,"VP",1,3,0.925142186518294
"NJ2020",2,"VP",1,6,0.871646195321346
"NJ2020",2,"VP",1,24,16.915908701471
"NJ2020",2,"VP",1,17.5,4.64072973038078
"NJ2020",2,"VP",1,20.5,10.6130952024062
"NJ2020",2,"VP",2,0,1
"NJ2020",2,"VP",2,3,0.954278100764529
"NJ2020",2,"VP",2,6,0.899148848584643
"NJ2020",2,"VP",2,24,8.63536290331458
"NJ2020",2,"VP",2,17.5,3.87410859142311
"NJ2020",2,"VP",2,20.5,6.16599708981723
"NJ2020",2,"VP",3,0,1
"NJ2020",2,"VP",3,3,0.939524749389705
"NJ2020",2,"VP",3,6,0.962147630672275
"NJ2020",2,"VP",3,24,13.6112578126353
"NJ2020",2,"VP",3,17.5,3.89857147803805
"NJ2020",2,"VP",3,20.5,8.13826278155785
"NJ2020",2,"VPC",1,0,1
"NJ2020",2,"VPC",1,3,0.949639284591172
"NJ2020",2,"VPC",1,6,1.39530926266872
"NJ2020",2,"VPC",1,24,1.63557450032806
"NJ2020",2,"VPC",1,17.5,0.840906324964808
"NJ2020",2,"VPC",1,20.5,1.20907878452452
"NJ2020",2,"VPC",2,0,1
"NJ2020",2,"VPC",2,3,1.09294432409995
"NJ2020",2,"VPC",2,6,1.06171942701567
"NJ2020",2,"VPC",2,24,1.60690702677329
"NJ2020",2,"VPC",2,17.5,1.44878486626811
"NJ2020",2,"VPC",2,20.5,0.975972709953811
"NJ2020",2,"VPC",3,0,1
"NJ2020",2,"VPC",3,3,0.944148940301172
"NJ2020",2,"VPC",3,6,0.984555720310071
"NJ2020",2,"VPC",3,24,1.26926579396699
"NJ2020",2,"VPC",3,17.5,0.795431681794125
"NJ2020",2,"VPC",3,20.5,0.904358977345975
"NJ2020",3,"VP",1,0,1
"NJ2020",3,"VP",1,3,1.31880418271607
"NJ2020",3,"VP",1,6,1.20606963804195
"NJ2020",3,"VP",1,24,6.68641622336344
"NJ2020",3,"VP",1,9,1.40803516640528
"NJ2020",3,"VP",1,12,1.11007927703806
"NJ2020",3,"VP",2,0,1
"NJ2020",3,"VP",2,3,1.12331421033118
"NJ2020",3,"VP",2,6,1.05345634270406
"NJ2020",3,"VP",2,24,4.82942808403166
"NJ2020",3,"VP",2,9,1.00453824895814
"NJ2020",3,"VP",2,12,0.820806895690366
"NJ2020",3,"VP",3,0,1
"NJ2020",3,"VP",3,3,0.971483114870483
"NJ2020",3,"VP",3,6,0.808109670978404
"NJ2020",3,"VP",3,24,3.92375763890238
"NJ2020",3,"VP",3,9,0.882669174959961
"NJ2020",3,"VP",3,12,0.76836040058678
"NJ2020",3,"VPC",1,0,1
"NJ2020",3,"VPC",1,3,1.06648871881231
"NJ2020",3,"VPC",1,6,1.0336104015214
"NJ2020",3,"VPC",1,24,0.329042638192607
"NJ2020",3,"VPC",1,9,0.935763329224371
"NJ2020",3,"VPC",1,12,0.412254553786723
"NJ2020",3,"VPC",2,0,1
"NJ2020",3,"VPC",2,3,1.1534888938589
"NJ2020",3,"VPC",2,6,1.07360769451711
"NJ2020",3,"VPC",2,24,0.305075323423193
"NJ2020",3,"VPC",2,9,0.521790723947295
"NJ2020",3,"VPC",2,12,0.444736206975842
"NJ2020",3,"VPC",3,0,1
"NJ2020",3,"VPC",3,3,0.942605262593248
"NJ2020",3,"VPC",3,6,0.940638058661021
"NJ2020",3,"VPC",3,24,0.288053916669652
"NJ2020",3,"VPC",3,9,0.365937130039382
"NJ2020",3,"VPC",3,12,0.337278303359837
"NJ2020",4,"VP",1,0,1
"NJ2020",4,"VP",1,3,1.02130113945613
"NJ2020",4,"VP",1,6,4.35652193753288
"NJ2020",4,"VP",1,24,10.8769531274915
"NJ2020",4,"VP",1,9,4.48153562851357
"NJ2020",4,"VP",1,12,5.84468985413514
"NJ2020",4,"VP",2,0,1
"NJ2020",4,"VP",2,3,1.15395751708846
"NJ2020",4,"VP",2,6,4.78672552214024
"NJ2020",4,"VP",2,24,14.031437482403
"NJ2020",4,"VP",2,9,4.69484541656308
"NJ2020",4,"VP",2,12,5.87364288293246
"NJ2020",4,"VP",3,0,1
"NJ2020",4,"VP",3,3,1.07909735745974
"NJ2020",4,"VP",3,6,4.42976995219533
"NJ2020",4,"VP",3,24,11.2895705698614
"NJ2020",4,"VP",3,9,4.83651345238179
"NJ2020",4,"VP",3,12,5.62270282259132
"NJ2020",4,"VPC",1,0,1
"NJ2020",4,"VPC",1,3,0.95092469708687
"NJ2020",4,"VPC",1,6,1.15952693955832
"NJ2020",4,"VPC",1,24,0.916369081186071
"NJ2020",4,"VPC",1,9,1.51968710497391
"NJ2020",4,"VPC",1,12,1.09228611272025
"NJ2020",4,"VPC",2,0,1
