"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",68026.3931308709,1632633.4351409,50706.3335271742,0.101114798276476,"LM_ALLPOINTS"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899801.98033673,69595247.5280815,458645.915922915,0.714154886765561,"LM_ALLPOINTS"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",194147.121535181,4659530.91684433,103724.321168479,0.179633945358033,"LM_ALLPOINTS"
"NJ2020",4,1,"T0_T24","c_Viruses","VP",893788.201847903,21450916.8443497,189598.255522033,0.581402675797491,"LM_ALLPOINTS"
"NJ2020",5,1,"T0_T24","c_Viruses","VP",32071.7839374549,769722.814498918,64386.4176952133,0.0152705491015212,"LM_ALLPOINTS"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-132043.354655295,-3169040.51172707,130879.447876542,0.0598115580401111,"LM_ALLPOINTS"
"NJ2020",7,1,"T0_T24","c_Viruses","VP",-47078.8912579956,-1129893.39019189,26695.8260389453,0.162743694162062,"LM_ALLPOINTS"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",68026.3931308707,1632633.4351409,19497.2177840279,0.111829302525318,"LM_SR_AVG"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899801.98033673,69595247.5280815,693904.050097116,0.851373423856018,"LM_SR_AVG"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",194147.121535181,4659530.91684434,80796.3324113029,0.20491040743841,"LM_SR_AVG"
"NJ2020",4,1,"T0_T24","c_Viruses","VP",893788.201847902,21450916.8443497,71462.3694379409,0.588505388622697,"LM_SR_AVG"
"NJ2020",5,1,"T0_T24","c_Viruses","VP",32071.7839374546,769722.81449891,34549.9160382925,0.0394994130728947,"LM_SR_AVG"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-132043.354655294,-3169040.51172706,44323.1933633989,0.29952129231166,"LM_SR_AVG"
"NJ2020",7,1,"T0_T24","c_Viruses","VP",-47078.8912579955,-1129893.39019189,19869.4880749162,0.221435094225318,"LM_SR_AVG"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",68026.3931308709,1632633.4351409,94201.7937987244,0.115333655683232,"LM_AR"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899801.98033673,69595247.5280816,592271.49143712,0.856997248980628,"LM_AR"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",194147.121535181,4659530.91684434,190423.072804328,0.206269815067918,"LM_AR"
"NJ2020",4,1,"T0_T24","c_Viruses","VP",893788.201847903,21450916.8443497,362439.060984379,0.603227325132348,"LM_AR"
"NJ2020",5,1,"T0_T24","c_Viruses","VP",32071.7839374546,769722.81449891,56243.9505874981,0.07517831892748,"LM_AR"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-132043.354655295,-3169040.51172707,167217.195179767,0.134863888805183,"LM_AR"
"NJ2020",7,1,"T0_T24","c_Viruses","VP",-47078.8912579956,-1129893.39019189,33573.7971683945,0.329568628489301,"LM_AR"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",68026.3931308709,1632633.4351409,94201.7937987244,0.115333655683232,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899801.98033673,69595247.5280816,592271.49143712,0.856997248980628,"LM_AR_DIFF"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",194147.121535181,4659530.91684434,190423.072804328,0.206269815067918,"LM_AR_DIFF"
"NJ2020",4,1,"T0_T24","c_Viruses","VP",893788.201847903,21450916.8443497,362439.060984379,0.603227325132348,"LM_AR_DIFF"
"NJ2020",5,1,"T0_T24","c_Viruses","VP",32071.7839374546,769722.81449891,56243.9505874981,0.07517831892748,"LM_AR_DIFF"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-132043.354655295,-3169040.51172707,167217.195179767,0.134863888805183,"LM_AR_DIFF"
"NJ2020",7,1,"T0_T24","c_Viruses","VP",-47078.8912579956,-1129893.39019189,33573.7971683945,0.329568628489301,"LM_AR_DIFF"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",68026.3931308708,1632633.4351409,94201.7937987244,0.115333655683233,"LM_AR_DIFF_LMER"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899801.98033673,69595247.5280816,592271.491437119,0.856997248980629,"LM_AR_DIFF_LMER"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",194147.121535179,4659530.91684431,190423.072804328,0.206269815067915,"LM_AR_DIFF_LMER"
"NJ2020",4,1,"T0_T24","c_Viruses","VP",893788.201847904,21450916.8443497,362439.060984379,0.603227325132348,"LM_AR_DIFF_LMER"
"NJ2020",5,1,"T0_T24","c_Viruses","VP",32071.7839374575,769722.814498979,56243.9505874984,0.0751783189274934,"LM_AR_DIFF_LMER"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-132043.354655295,-3169040.51172708,167217.195179767,0.134863888805184,"LM_AR_DIFF_LMER"
"NJ2020",7,1,"T0_T24","c_Viruses","VP",-47078.8912579955,-1129893.39019189,33573.7971683945,0.3295686284893,"LM_AR_DIFF_LMER"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",313329.610451146,5722729.21108743,55768.3286872176,NA,"VPCL_SR_AVG"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",4328109.45273633,77905970.149254,945877.45524471,NA,"VPCL_SR_AVG"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",648488.509831793,13299275.0533049,96737.861567717,NA,"VPCL_SR_AVG"
"NJ2020",4,1,"T0_T24","c_Viruses","VP",1600366.02700782,24473347.5479744,170823.546645194,NA,"VPCL_SR_AVG"
"NJ2020",5,1,"T0_T24","c_Viruses","VP",817967.306325512,7016844.34968013,131188.126780012,NA,"VPCL_SR_AVG"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",387988.628287129,6668656.71641787,130457.975873225,NA,"VPCL_SR_AVG"
"NJ2020",7,1,"T0_T24","c_Viruses","VP",387206.823027719,2143368.86993604,41536.6114326112,NA,"VPCL_SR_AVG"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",294740.582800285,5305330.49040513,NA,NA,"VPCL_AR"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",4328109.45273633,77905970.1492539,NA,NA,"VPCL_AR"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",712487.562189056,12521279.3176972,NA,NA,"VPCL_AR"
"NJ2020",4,1,"T0_T24","c_Viruses","VP",1177392.79791518,22084008.5287846,NA,NA,"VPCL_AR"
"NJ2020",5,1,"T0_T24","c_Viruses","VP",580348.258706464,4092324.0938166,NA,NA,"VPCL_AR"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",355522.388059702,5332835.82089553,NA,NA,"VPCL_AR"
"NJ2020",7,1,"T0_T24","c_Viruses","VP",286879.886282872,1721279.31769723,NA,NA,"VPCL_AR"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",330764.544623819,4630703.62473347,49525.1593934021,NA,"VPCL_AR_SE"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",3476964.92904934,50415991.4712155,918715.299830411,NA,"VPCL_AR_SE"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",916261.549395878,10995138.5927505,129864.892119089,NA,"VPCL_AR_SE"
"NJ2020",4,1,"T0_T24","c_Viruses","VP",1688041.93319119,22038379.5309169,134283.143078224,NA,"VPCL_AR_SE"
