"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method","Replicate"
"NJ2020",1,1,"T0_T3","c_Viruses","VP",-109509.594882729,-328528.784648186,NA,1,"LM_SR","1"
"NJ2020",1,1,"T0_T6","c_Viruses","VP",-654413.646055439,-3926481.87633263,314600.500627081,0.812276720783808,"LM_SR","1"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",-126630.742391937,-2152722.62066293,149843.012141459,0.263128138691457,"LM_SR","1"
"NJ2020",1,1,"T0_T20","c_Viruses","VP",-15156.5394209321,-303130.788418643,112402.388691072,0.00602425790820443,"LM_SR","1"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",99648.8215294191,2391571.71670606,107611.45871552,0.176528850723114,"LM_SR","1"
"NJ2020",1,1,"T0_T3","c_Viruses","VP",35650.3198294231,106950.959488269,NA,1,"LM_SR","2"
"NJ2020",1,1,"T0_T6","c_Viruses","VP",-590533.049040514,-3543198.29424309,361527.136579124,0.727381356418572,"LM_SR","2"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",-124036.44117077,-2108619.49990308,143013.32243483,0.27331423841644,"LM_SR","2"
"NJ2020",1,1,"T0_T20","c_Viruses","VP",39980.2421977253,799604.843954505,131858.962059292,0.0297331867227173,"LM_SR","2"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",71974.7594075947,1727394.22578227,93010.7459480228,0.130211113221523,"LM_SR","2"
"NJ2020",1,1,"T0_T3","c_Viruses","VP",-167675.90618337,-503027.71855011,NA,1,"LM_SR","3"
"NJ2020",1,1,"T0_T6","c_Viruses","VP",-771002.132196164,-4626012.79317698,348330.558997647,0.830486408764562,"LM_SR","3"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",-129601.860825741,-2203231.6340376,178341.342734164,0.208892906680212,"LM_SR","3"
"NJ2020",1,1,"T0_T20","c_Viruses","VP",6107.13668282974,122142.733656595,134923.025429271,0.000682472863932848,"LM_SR","3"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",32455.5984555984,778934.362934361,94323.9999250213,0.0287479436313178,"LM_SR","3"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-802558.635394432,-2407675.9061833,NA,1,"LM_SR","1"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-591577.825159902,-3549466.95095941,121809.827582754,0.959326879151416,"LM_SR","1"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",2179234.63942674,38136606.189968,662530.837321824,0.84398421907039,"LM_SR","1"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",3181742.46407377,65225720.5135123,733545.777026034,0.862472129395028,"LM_SR","1"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",4038627.98360368,96927071.6064882,776512.590180203,0.871176409087645,"LM_SR","1"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-986780.383795295,-2960341.15138588,NA,1,"LM_SR","2"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-911194.029850752,-5467164.17910451,43639.8017969492,0.997711511203221,"LM_SR","2"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",992989.921561577,17377323.6273276,455023.538988088,0.704245134772055,"LM_SR","2"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",1231888.45839695,25253713.3971376,308632.796979021,0.841534551794309,"LM_SR","2"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",1643501.07450359,39444025.7880861,353614.479023681,0.843757939564926,"LM_SR","2"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-801279.31769723,-2403837.95309169,NA,1,"LM_SR","3"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-899680.170575701,-5398081.02345421,56811.7588978711,0.996028341765543,"LM_SR","3"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1481817.62327257,25931808.40727,569093.584980467,0.772206503942838,"LM_SR","3"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",2255821.0507323,46244331.5400121,585534.593959394,0.831861197841342,"LM_SR","3"
