"Sample_Name","Staining_Protocol","Date_Measurement","Location","Expt_Date","Station_Number","Depth","Sample_Type","Timepoint","Replicate","Acquisition_Duration","Dilution","Flowrate","Sample_Index"
"ba201028.010","Bacteria",2020-10-28,"NJ2020",NA,NA,0,"TE",NA,NA,60,NA,39.4,1
"ba201028.011","Bacteria",2020-10-28,"NJ2020",NA,NA,0,"TE",NA,NA,60,NA,39.4,2
"ba201028.015","Bacteria",2020-10-28,"NJ2020",2020-08-20,4,0,"Count",NA,NA,180,100,39.4,3
"BA210507.062","Bacteria",2021-05-07,"NJ2020",NA,NA,0,"TE",NA,NA,60,NA,39.4,4
"BA210507.063","Bacteria",2021-05-07,"NJ2020",NA,NA,0,"TE",NA,NA,60,NA,39.4,5
"BA210507.064","Bacteria",2021-05-07,"NJ2020",NA,NA,0,"TE",NA,NA,60,NA,39.4,6
"BA210507.065","Bacteria",2021-05-07,"NJ2020",NA,NA,0,"TE",NA,NA,60,NA,39.4,7
"BA210507.066","Bacteria",2021-05-07,"NJ2020",2020-08-04,1,0,"Count",NA,NA,60,20,39.4,8
"BA210507.067","Bacteria",2021-05-07,"NJ2020",2020-08-06,2,0,"Count",NA,NA,60,20,39.4,9
"BA210507.068","Bacteria",2021-05-07,"NJ2020",2020-08-18,3,0,"Count",NA,NA,60,20,39.4,10
"BA210507.069","Bacteria",2021-05-07,"NJ2020",2020-09-01,5,0,"Count",NA,NA,60,20,39.4,11
"BA210507.070","Bacteria",2021-05-07,"NJ2020",2020-09-03,6,0,"Count",NA,NA,60,20,39.4,12
"BA210507.071","Bacteria",2021-05-07,"NJ2020",2020-09-05,7,0,"Count",NA,NA,60,20,39.4,13
"vi201028.003","Viruses",2020-10-28,"NJ2020",NA,NA,0,"TE",NA,NA,60,NA,39.4,14
"vi201028.004","Viruses",2020-10-28,"NJ2020",NA,NA,0,"TE",NA,NA,60,NA,39.4,15
"vi201028.005","Viruses",2020-10-28,"NJ2020",NA,NA,0,"TE",NA,NA,60,NA,39.4,16
"vi201028.008","Viruses",2020-10-28,"NJ2020",2020-08-20,4,0,"Count",NA,NA,180,1000,39.4,17
"VI210507.062","Viruses",2021-05-07,"NJ2020",NA,NA,0,"TE",NA,NA,60,NA,39.4,18
"VI210507.063","Viruses",2021-05-07,"NJ2020",NA,NA,0,"TE",NA,NA,60,NA,39.4,19
"VI210507.064","Viruses",2021-05-07,"NJ2020",NA,NA,0,"TE",NA,NA,60,NA,39.4,20
"VI210507.065","Viruses",2021-05-07,"NJ2020",NA,NA,0,"TE",NA,NA,60,NA,39.4,21
"VI210507.067","Viruses",2021-05-07,"NJ2020",2020-08-04,1,0,"Count",NA,NA,60,500,39.4,22
"VI210507.068","Viruses",2021-05-07,"NJ2020",2020-08-06,2,0,"Count",NA,NA,60,500,39.4,23
"VI210507.069","Viruses",2021-05-07,"NJ2020",2020-08-18,3,0,"Count",NA,NA,60,500,39.4,24
"VI210507.070","Viruses",2021-05-07,"NJ2020",2020-09-01,5,0,"Count",NA,NA,60,500,39.4,25
"VI210507.071","Viruses",2021-05-07,"NJ2020",2020-09-03,6,0,"Count",NA,NA,60,500,39.4,26
"VI210507.072","Viruses",2021-05-07,"NJ2020",2020-09-05,7,0,"Count",NA,NA,60,500,39.4,27
