"file_name","pop","count"
"ba201028.010","root",60
"ba201028.010","Bacteria",2
"ba201028.010","HNA_Bacteria",0
"ba201028.010","LNA_Bacteria",2
"ba201028.010","Viruses",2
"ba201028.010","V1",0
"ba201028.010","V2",2
"ba201028.010","V3",0
"ba201028.011","root",15
"ba201028.011","Bacteria",1
"ba201028.011","HNA_Bacteria",0
"ba201028.011","LNA_Bacteria",1
"ba201028.011","Viruses",1
"ba201028.011","V1",0
"ba201028.011","V2",0
"ba201028.011","V3",1
"ba201028.015","root",22290
"ba201028.015","Bacteria",10393
"ba201028.015","HNA_Bacteria",5356
"ba201028.015","LNA_Bacteria",4842
"ba201028.015","Viruses",9417
"ba201028.015","V1",0
"ba201028.015","V2",6890
"ba201028.015","V3",1887
"BA210507.062","root",15
"BA210507.062","Bacteria",3
"BA210507.062","HNA_Bacteria",1
"BA210507.062","LNA_Bacteria",2
"BA210507.062","Viruses",0
"BA210507.062","V1",0
"BA210507.062","V2",0
"BA210507.062","V3",0
"BA210507.063","root",150
"BA210507.063","Bacteria",41
"BA210507.063","HNA_Bacteria",31
"BA210507.063","LNA_Bacteria",10
"BA210507.063","Viruses",1
"BA210507.063","V1",0
"BA210507.063","V2",0
"BA210507.063","V3",1
"BA210507.064","root",15
"BA210507.064","Bacteria",5
"BA210507.064","HNA_Bacteria",0
"BA210507.064","LNA_Bacteria",5
"BA210507.064","Viruses",1
"BA210507.064","V1",0
"BA210507.064","V2",1
"BA210507.064","V3",0
"BA210507.065","root",30
"BA210507.065","Bacteria",9
"BA210507.065","HNA_Bacteria",1
"BA210507.065","LNA_Bacteria",7
"BA210507.065","Viruses",3
"BA210507.065","V1",0
"BA210507.065","V2",2
"BA210507.065","V3",1
"BA210507.066","root",31320
"BA210507.066","Bacteria",7328
"BA210507.066","HNA_Bacteria",4053
"BA210507.066","LNA_Bacteria",3266
"BA210507.066","Viruses",19979
"BA210507.066","V1",0
"BA210507.066","V2",14568
"BA210507.066","V3",5494
"BA210507.067","root",36255
"BA210507.067","Bacteria",6878
"BA210507.067","HNA_Bacteria",4145
"BA210507.067","LNA_Bacteria",2717
"BA210507.067","Viruses",25081
"BA210507.067","V1",0
"BA210507.067","V2",17921
"BA210507.067","V3",7354
"BA210507.068","root",39315
"BA210507.068","Bacteria",14008
"BA210507.068","HNA_Bacteria",7594
"BA210507.068","LNA_Bacteria",6371
"BA210507.068","Viruses",18176
"BA210507.068","V1",0
"BA210507.068","V2",12435
"BA210507.068","V3",5284
"BA210507.069","root",21570
"BA210507.069","Bacteria",6912
"BA210507.069","HNA_Bacteria",3609
"BA210507.069","LNA_Bacteria",3297
"BA210507.069","Viruses",11190
"BA210507.069","V1",0
"BA210507.069","V2",7986
"BA210507.069","V3",3094
"BA210507.070","root",27240
"BA210507.070","Bacteria",9856
"BA210507.070","HNA_Bacteria",4742
"BA210507.070","LNA_Bacteria",5104
"BA210507.070","Viruses",13307
"BA210507.070","V1",0
"BA210507.070","V2",9528
"BA210507.070","V3",3748
"BA210507.071","root",22095
"BA210507.071","Bacteria",7627
"BA210507.071","HNA_Bacteria",3732
"BA210507.071","LNA_Bacteria",3889
"BA210507.071","Viruses",10405
"BA210507.071","V1",0
"BA210507.071","V2",6122
"BA210507.071","V3",3847
"vi201028.003","root",1650
"vi201028.003","Bacteria",8
"vi201028.003","HNA_Bacteria",2
"vi201028.003","LNA_Bacteria",5
"vi201028.003","Viruses",1236
"vi201028.003","V1",830
"vi201028.003","V2",366
"vi201028.003","V3",37
"vi201028.004","root",1680
"vi201028.004","Bacteria",5
"vi201028.004","HNA_Bacteria",0
"vi201028.004","LNA_Bacteria",5
"vi201028.004","Viruses",1061
"vi201028.004","V1",798
"vi201028.004","V2",235
"vi201028.004","V3",21
"vi201028.005","root",885
"vi201028.005","Bacteria",2
"vi201028.005","HNA_Bacteria",0
"vi201028.005","LNA_Bacteria",2
"vi201028.005","Viruses",668
"vi201028.005","V1",505
"vi201028.005","V2",149
"vi201028.005","V3",10
"vi201028.008","root",25650
"vi201028.008","Bacteria",1221
"vi201028.008","HNA_Bacteria",990
"vi201028.008","LNA_Bacteria",229
"vi201028.008","Viruses",23194
"vi201028.008","V1",19885
"vi201028.008","V2",2331
"vi201028.008","V3",880
"VI210507.062","root",1755
"VI210507.062","Bacteria",23
"VI210507.062","HNA_Bacteria",6
"VI210507.062","LNA_Bacteria",17
"VI210507.062","Viruses",1292
"VI210507.062","V1",1250
"VI210507.062","V2",17
"VI210507.062","V3",1
"VI210507.063","root",2250
"VI210507.063","Bacteria",9
"VI210507.063","HNA_Bacteria",0
"VI210507.063","LNA_Bacteria",9
"VI210507.063","Viruses",1306
"VI210507.063","V1",1275
"VI210507.063","V2",15
"VI210507.063","V3",1
"VI210507.064","root",1710
"VI210507.064","Bacteria",13
"VI210507.064","HNA_Bacteria",3
"VI210507.064","LNA_Bacteria",10
"VI210507.064","Viruses",1273
"VI210507.064","V1",1245
"VI210507.064","V2",9
"VI210507.064","V3",0
"VI210507.065","root",2055
"VI210507.065","Bacteria",11
"VI210507.065","HNA_Bacteria",2
"VI210507.065","LNA_Bacteria",9
"VI210507.065","Viruses",1293
"VI210507.065","V1",1269
"VI210507.065","V2",8
"VI210507.065","V3",0
"VI210507.067","root",17430
"VI210507.067","Bacteria",284
"VI210507.067","HNA_Bacteria",216
"VI210507.067","LNA_Bacteria",67
"VI210507.067","Viruses",15918
"VI210507.067","V1",12843
"VI210507.067","V2",2359
"VI210507.067","V3",682
"VI210507.068","root",18630
"VI210507.068","Bacteria",262
"VI210507.068","HNA_Bacteria",192
"VI210507.068","LNA_Bacteria",70
"VI210507.068","Viruses",17706
"VI210507.068","V1",14561
"VI210507.068","V2",2421
"VI210507.068","V3",682
"VI210507.069","root",21255
"VI210507.069","Bacteria",517
"VI210507.069","HNA_Bacteria",407
"VI210507.069","LNA_Bacteria",110
"VI210507.069","Viruses",19660
"VI210507.069","V1",16963
"VI210507.069","V2",1872
"VI210507.069","V3",652
"VI210507.070","root",13455
"VI210507.070","Bacteria",340
"VI210507.070","HNA_Bacteria",281
"VI210507.070","LNA_Bacteria",58
"VI210507.070","Viruses",12329
"VI210507.070","V1",10417
"VI210507.070","V2",1599
"VI210507.070","V3",270
"VI210507.071","root",14865
"VI210507.071","Bacteria",384
"VI210507.071","HNA_Bacteria",299
"VI210507.071","LNA_Bacteria",85
"VI210507.071","Viruses",13587
"VI210507.071","V1",11295
"VI210507.071","V2",1818
"VI210507.071","V3",422
"VI210507.072","root",12945
"VI210507.072","Bacteria",296
"VI210507.072","HNA_Bacteria",231
"VI210507.072","LNA_Bacteria",64
"VI210507.072","Viruses",11989
"VI210507.072","V1",10021
"VI210507.072","V2",1594
"VI210507.072","V3",320
