"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"BA210507.066","Bacteria",2020-08-04,2021-05-07,"NJ2020",1,0,"Count",NA,NA,3711928.93401015,2055533.265411,1656395.66859915,NA,NA,NA,NA,NA,1.24096754439682
"BA210507.067","Bacteria",2020-08-06,2021-05-07,"NJ2020",2,0,"Count",NA,NA,3479949.23857868,2102067.85105051,1377881.38752817,NA,NA,NA,NA,NA,1.52557968347442
"BA210507.068","Bacteria",2020-08-18,2021-05-07,"NJ2020",3,0,"Count",NA,NA,7085532.99492386,3853028.11052286,3232504.88440099,NA,NA,NA,NA,NA,1.19196358499451
"ba201028.015","Bacteria",2020-08-20,2020-10-28,"NJ2020",4,0,"Count",NA,NA,8626480.54145516,4530636.37772444,4095844.16373072,NA,NA,NA,NA,NA,1.10615448161917
"BA210507.069","Bacteria",2020-09-01,2021-05-07,"NJ2020",5,0,"Count",NA,NA,3502284.26395939,1830255.41683021,1672028.84712918,NA,NA,NA,NA,NA,1.09463148316652
"BA210507.070","Bacteria",2020-09-03,2021-05-07,"NJ2020",6,0,"Count",NA,NA,4994670.05076142,2405517.50768948,2589152.54307194,NA,NA,NA,NA,NA,0.929075235109717
"BA210507.071","Bacteria",2020-09-05,2021-05-07,"NJ2020",7,0,"Count",NA,NA,3865228.42639594,1892800.48383541,1972427.94256053,NA,NA,NA,NA,NA,0.959629724865004
"VI210507.067","Viruses",2020-08-04,2021-05-07,"NJ2020",1,0,"Count",NA,NA,3439086.29441624,2624885.6522753,814200.642140948,185513959.390863,149997216.095244,27551462.4907483,7965280.80487085,53.9428044280443,3.22388059701493
"VI210507.068","Viruses",2020-08-06,2021-05-07,"NJ2020",2,0,"Count",NA,NA,3172588.83248731,2324950.59479986,847638.237687449,208102791.878173,171545785.356548,28522240.6667264,8034765.85489774,65.594,2.74285714285714
"VI210507.069","Viruses",2020-08-18,2021-05-07,"NJ2020",3,0,"Count",NA,NA,6408629.44162437,5045091.26255535,1363538.17906901,231237309.64467,201286934.033075,22213590.7864126,7736784.82518217,36.0821782178218,3.7
"vi201028.008","Viruses",2020-08-20,2020-10-28,"NJ2020",4,0,"Count",NA,NA,10283417.9357022,8351586.34646856,1931831.58923364,188130287.648054,161974834.165291,18987344.1508319,7168109.3319314,18.2945290004114,4.32314410480349
"VI210507.070","Viruses",2020-09-01,2021-05-07,"NJ2020",5,0,"Count",NA,NA,4149746.1928934,3439760.11859305,709986.074300346,139854060.913706,118578850.11705,18201745.3525163,3073465.44413971,33.7018348623853,4.8448275862069
"VI210507.071","Viruses",2020-09-03,2021-05-07,"NJ2020",6,0,"Count",NA,NA,4720812.18274112,3675840.73604061,1044971.44670051,155704314.720812,129935739.547216,20913959.6721416,4854615.50145421,32.9825268817204,3.51764705882353
"VI210507.072","Viruses",2020-09-05,2021-05-07,"NJ2020",7,0,"Count",NA,NA,3591370.55837563,2812225.75927041,779144.799105222,135399746.192893,113685869.844909,18083552.1936717,3630324.15431302,37.7014134275618,3.609375
